component,shape,homo
1,0.2,0.3333333333333333
2,0.2,0.4666666666666667
3,0.2,0.26666666666666666
4,0.26666666666666666,0.6666666666666666
5,0.26666666666666666,0.4666666666666667
6,0.2,0.8
7,0.2,0.2
8,0.3333333333333333,0.4666666666666667
9,0.2,0.26666666666666666
10,0.2,0.26666666666666666
11,0.2,0.7333333333333333
12,0.2,0.43333333333333335
13,0.23333333333333334,0.6
14,0.2,0.8
15,0.2,0.6
16,0.2,0.5333333333333333
17,0.2,0.3
18,0.2,0.3333333333333333
19,0.2,0.3333333333333333
20,0.2,0.5333333333333333
21,0.2,0.3333333333333333
22,0.2,0.5333333333333333
23,0.26666666666666666,0.6666666666666666
24,0.2,0.8
25,0.2,0.4666666666666667
26,0.2,0.36666666666666664
27,0.2,0.6666666666666666
28,0.2,0.5333333333333333
29,0.2,0.6
30,0.23333333333333334,0.4
31,0.2,0.5333333333333333
32,0.2,0.6333333333333333
33,0.2,0.4666666666666667
34,0.2,0.9333333333333333
35,0.2,0.4666666666666667
36,0.2,0.7333333333333333
37,0.2,0.6
38,0.2,0.3333333333333333
39,0.2,0.43333333333333335
40,0.2,0.6
41,0.2,0.6666666666666666
42,0.2,0.4666666666666667
43,0.3333333333333333,0.43333333333333335
44,0.2,0.3333333333333333
45,0.26666666666666666,0.3333333333333333
46,0.2,0.7333333333333333
47,0.2,0.6
48,0.2,0.3
49,0.2,0.6666666666666666
50,0.2,0.3333333333333333
51,0.2,0.7333333333333333
52,0.2,0.5333333333333333
53,0.2,0.3333333333333333
54,0.23333333333333334,0.3333333333333333
55,0.2,0.6666666666666666
56,0.23333333333333334,0.5333333333333333
57,0.2,0.7333333333333333
58,0.2,0.6666666666666666
59,0.23333333333333334,0.6666666666666666
60,0.2,0.2
61,0.2,0.3333333333333333
62,0.2,0.3333333333333333
63,0.2,0.5333333333333333
64,0.2,0.4666666666666667
65,0.2,0.7333333333333333
66,0.2,0.5333333333333333
67,0.23333333333333334,0.4666666666666667
68,0.2,0.4666666666666667
69,0.2,0.36666666666666664
70,0.2,0.43333333333333335
71,0.26666666666666666,0.5333333333333333
72,0.2,0.7333333333333333
73,0.23333333333333334,0.6
74,0.2,0.6
75,0.2,0.7333333333333333
76,0.2,0.7333333333333333
77,0.2,0.6
78,0.2,0.7333333333333333
79,0.26666666666666666,0.2
80,0.2,0.5333333333333333
81,0.2,0.4666666666666667
82,0.2,0.4666666666666667
83,0.2,0.6
84,0.2,0.3
85,0.2,0.8
86,0.2,0.7333333333333333
87,0.3,0.6666666666666666
88,0.36666666666666664,0.5333333333333333
89,0.2,0.5666666666666667
90,0.2,0.7333333333333333
91,0.2,0.6333333333333333
92,0.2,0.7333333333333333
93,0.2,0.4
94,0.2,0.7333333333333333
95,0.43333333333333335,0.8
96,0.2,0.6
97,0.2,0.4666666666666667
98,0.2,0.8
99,0.23333333333333334,0.2
100,0.2,0.7333333333333333
101,0.3,0.6666666666666666
102,0.23333333333333334,0.6666666666666666
103,0.3333333333333333,0.8
104,0.2,0.7333333333333333
105,0.2,0.4666666666666667
106,0.2,0.3333333333333333
107,0.2,0.3333333333333333
108,0.2,0.6666666666666666
109,0.2,0.5333333333333333
110,0.2,0.5333333333333333
111,0.2,0.6
112,0.3,0.6
113,0.2,0.5333333333333333
114,0.2,0.6
115,0.2,0.4
116,0.2,0.6666666666666666
117,0.2,0.5333333333333333
118,0.2,0.3
119,0.3,0.6
120,0.2,0.6666666666666666
121,0.2,0.6
122,0.2,0.6
123,0.16666666666666666,0.6666666666666666
124,0.2,0.4666666666666667
125,0.2,0.4666666666666667
126,0.23333333333333334,0.3333333333333333
127,0.2,0.5
128,0.2,0.8666666666666667
